"","fecha","posicion","cancion","artista"
"131",2002-06-01,68,"Complicated","Avril Lavigne"
"132",2002-08-17,68,"Out Of My Heart (Into Your Head)","BBMak"
"133",2002-09-07,68,"Objection (Tango)","Shakira"
"134",2003-02-08,68,"Can't Stop","Red Hot Chili Peppers"
"135",2003-04-12,68,"Pimp Juice","Nelly"
"136",2003-08-23,68,"Step In The Name Of Love","R. Kelly"
"137",2004-01-24,68,"Dirt Off Your Shoulder","JAY-Z"
"138",2004-05-15,68,"Ch-Check It Out","Beastie Boys"
"139",2004-10-02,68,"Shadow","Ashlee Simpson"
"140",2004-10-16,68,"Shorty Wanna Ride","Young Buck"
"141",2004-11-06,68,"Daughters","John Mayer"
"142",2005-01-22,68,"O","Omarion"
"143",2005-08-20,68,"Seasons Of Love","Cast Of Rent"
"144",2007-03-31,68,"Survivalism","Nine Inch Nails"
"145",2007-11-03,68,"Shadowplay","The Killers"
"146",2008-01-19,68,"Start All Over","Miley Cyrus"
"147",2008-04-05,68,"4 Minutes","Madonna Featuring Justin Timberlake & Timbaland"
"148",2008-10-11,68,"Don't Forget","Demi Lovato"
"149",2009-12-12,68,"Crawl","Chris Brown"
"150",2010-12-25,68,"Rolling In The Deep","Adele"
"151",2011-04-23,68,"Dirt Road Anthem","Jason Aldean"
"152",2011-05-21,68,"Songbird","Glee Cast"
"153",2011-07-09,68,"Dog Days Are Over","Vicci Martinez"
"154",2013-02-23,68,"Pirate Flag","Kenny Chesney"
"155",2014-04-19,68,"Stay With Me","Sam Smith"
"156",2014-11-08,68,"Outside","Calvin Harris Featuring Ellie Goulding"
"157",2016-12-17,68,"Nothing Without You","The Weeknd"
"158",2017-05-13,68,"Attention","Charlie Puth"
"159",1998-05-09,52,"Push It","Garbage"
"160",1998-09-12,52,"Shimmer","Fuel"
"161",1998-10-03,52,"Nobody's Supposed To Be Here","Deborah Cox"
"162",1999-07-17,52,"Summer Girls","LFO"
"163",2003-04-05,52,"Sing For The Moment","Eminem"
"164",2006-03-04,52,"Cowboys Are Frequently Secretly (Fond Of Each Other)","Willie Nelson"
"165",2007-05-26,52,"Anonymous","Bobby Valentino Featuring Timbaland"
"166",2007-07-14,52,"Because Of You","Reba McEntire Duet With Kelly Clarkson"
"167",2011-03-12,52,"On My Level","Wiz Khalifa Featuring Too $hort"
"168",2017-07-29,52,"Sorry Not Sorry","Demi Lovato"
"169",1958-08-02,53,"Come Closer To Me (Acercate Mas)","Nat King Cole"
"170",1959-07-04,53,"Sweeter Than You","Ricky Nelson"
"171",1960-02-27,53,"About This Thing Called Love","Fabian"
"172",1960-07-23,53,"A Mess Of Blues","Elvis Presley With The Jordanaires"
"173",1961-09-30,53,"Big Bad John","Jimmy Dean"
"174",1964-05-02,53,"Do You Love Me","The Dave Clark Five"
"175",1964-06-20,53,"Rag Doll","The 4 Seasons Featuring the ""Sound of Frankie Valli"""
"176",1966-07-16,53,"Summer In The City","The Lovin' Spoonful"
"177",1969-01-04,53,"Baby, Baby Don't Cry","Smokey Robinson & The Miracles"
"178",1975-03-08,53,"Philadelphia Freedom","The Elton John Band"
"179",1980-02-16,53,"Off The Wall","Michael Jackson"
