"","fecha","posicion","cancion","artista"
"23215",1977-05-07,98,"I Need A Man","Grace Jones"
"23216",1977-06-04,98,"Lady (put The Light On Me)","Brownsville Station"
"23217",1977-06-25,98,"I Can't Help Myself","Eddie Rabbitt"
"23218",1977-07-09,98,"Goodbye My Friend","Engelbert Humperdinck"
"23219",1977-09-24,98,"I've Never Been To Me","Charlene"
"23220",1977-10-08,98,"It Ain't Love","Tom Powers"
"23221",1978-03-11,98,"Miss Broadway","Belle Epoque"
"23222",1978-03-18,98,"I Love You, I Love You, I Love You","Ronnie McDowell"
"23223",1980-04-12,98,"I Was Looking For Someone To Love","Leif Garrett"
"23224",1980-11-29,98,"Gypsy Spirit","Pendulum"
"23225",1981-09-26,98,"I'm So Glad I'm Standing Here Today","The Crusaders With Joe Cocker"
"23226",1982-05-08,98,"Hooked On Big Bands","The Frank Barber Orch."
"23227",1983-10-22,98,"I Think You'll Remember Tonight","Axe"
"23228",1986-02-01,98,"Life's What You Make It","Talk Talk"
"23229",1986-03-08,98,"I Engineer","Animotion"
"23230",1986-06-28,98,"I Wouldn't Lie","Yarbrough & Peoples"
"23231",1986-10-04,98,"For Tonight","Nancy Martinez"
"23232",1986-10-18,98,"More Than Physical","Bananarama"
"23233",1986-11-01,98,"Goin' To The Bank","Commodores"
"23234",1986-11-15,98,"I Want To Make The World Turn Around","The Steve Miller Band"
"23235",1986-11-22,98,"French Kissin","Debbie Harry"
"23236",1987-08-29,98,"He's My Girl","David Hallyday"
"23237",1988-04-23,98,"Love Struck","Jesse Johnson"
"23238",1988-05-28,98,"Little Walter","Tony Toni Tone"
"23239",1988-06-04,98,"I Know You're Out There Somewhere","The Moody Blues"
"23240",1988-09-24,98,"I Can't Wait","Deniece Williams"
"23241",1988-10-01,98,"I Did It For Love","Night Ranger"
"23242",1989-01-07,98,"Dreamin'","Vanessa Williams"
"23243",1989-08-19,98,"Let Go","Sharon Bryant"
"23244",1989-08-26,98,"Glamour Boys","Living Colour"
"23245",1989-11-04,98,"Name And Number","Big Noise"
"23246",1990-04-14,98,"Nicety","Michel'le"
"23247",1990-07-14,98,"Hungry","Lita Ford"
"23248",1990-08-18,98,"Joey","Concrete Blonde"
"23249",1990-09-29,98,"Livin' In The Light","Caron Wheeler"
"23250",1991-02-09,98,"Funk Boutique","The Cover Girls"
"23251",1991-03-02,98,"Made Up My Mind","SaFire"
"23252",1991-04-13,98,"How Can I Ease The Pain","Lisa Fischer"
"23253",1991-06-22,98,"Let The Beat Hit 'Em","Lisa Lisa And Cult Jam"
"23254",1991-07-20,98,"Gotta Have You (From ""Jungle Fever"")","Stevie Wonder"
"23255",1991-08-31,98,"Everyotherday","Or-N-More (Featuring Father M.C.)"
"23256",1991-09-21,98,"Good Time","Ziggy Marley And The Melody Makers"
"23257",1991-11-23,98,"Groovin'","UB40"
"23258",1992-01-25,98,"Everlasting Love","Tony Terry"
"23259",1992-04-04,98,"If You Want It","2nd II None"
"23260",1992-05-23,98,"Honey Love","R. Kelly & Public Announcement"
"23261",1992-06-20,98,"Forever In Your Eyes","Mint Condition"
"23262",1992-06-27,98,"Jump Around","House Of Pain"
"23263",1992-09-12,98,"Drowning In Your Eyes","Ephraim Lewis"
"23264",1992-11-14,98,"Here We Go Again!","Portrait"
"23265",1992-12-26,98,"Get Up (Move Boy Move)","AB Logic"
"23266",1993-04-03,98,"If I Could","Regina Belle"
"23267",1993-05-22,98,"Don't Take Away My Heaven","Aaron Neville"
"23268",1993-06-19,98,"I Should Be Laughing","Patty Smyth"
"23269",1993-09-18,98,"Human Wheels","John Mellencamp"
"23270",1993-11-13,98,"Happenin' All Over Again","Lonnie Gordon"
"23271",1994-04-02,98,"Neon Moonlight","Rosco Martinez"
"23272",1994-04-09,98,"In Walked Love","Expose"
"23273",1994-04-23,98,"Love On My Mind","Xscape"
"23274",1995-07-29,98,"Listen Me Tic (Woyoi)","Ini Kamoze"
"23275",1996-03-23,98,"Esa Nena Linda","Artie The 1 Man Party"
"23276",1996-07-27,98,"Hang 'Em High","Sadat X"
"23277",1999-04-24,98,"My Own Worst Enemy","Lit"
"23278",1999-05-08,98,"Little Good-Byes","SHeDAISY"
"23279",2000-03-25,98,"If You Don't Wanna Love Me","Tamar Braxton"
"23280",2000-08-12,98,"Hey Papi","Jay-Z Featuring Memphis Bleek & Amil"
"23281",2000-12-30,98,"I Know","Sunday"
"23282",2001-01-27,98,"Georgia","Carolyn Dawn Johnson"
"23283",2001-06-16,98,"Fallin'","Alicia Keys"
"23284",2001-07-14,98,"Miss California","Dante Thomas Featuring Pras"
"23285",2001-08-04,98,"My Projects","Coo Coo Cal"
"23286",2001-12-01,98,"Don't You Forget It","Glenn Lewis"
"23287",2002-03-09,98,"Knoc","Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott"
"23288",2002-03-30,98,"Feel The Girl","Ms. Jade"
"23289",2002-04-13,98,"Down A** Chick","Ja Rule Featuring Charli ""Chuck"" Baltimore"
"23290",2002-05-04,98,"I Told Y'all","Petey Pablo"
"23291",2002-05-25,98,"Grindin'","Clipse"
"23292",2002-06-22,98,"For All Time","Soluna"
"23293",2002-09-07,98,"My Friends Over You","New Found Glory"
"23294",2002-10-26,98,"He Is","Heather Headley"
"23295",2003-05-03,98,"Get Low","Lil Jon & The East Side Boyz Featuring Ying Yang Twins"
"23296",2003-05-17,98,"How You Want That","Loon Featuring Kelis"
"23297",2003-08-23,98,"Never (Past Tense)","The Roc Project Featuring Tina Arena"
"23298",2003-11-22,98,"I Can't Take You Anywhere","Scotty Emerick With Toby Keith"
"23299",2003-12-06,98,"F**k It (I Don't Want You Back)","Eamon"
"23300",2004-03-13,98,"Maps","Yeah Yeah Yeahs"
"23301",2004-05-01,98,"Last One Standing","Emerson Drive"
"23302",2004-05-08,98,"Get No Better","Cassidy Featuring Mashonda"
"23303",2004-06-12,98,"Hole In The Head","Sugababes"
"23304",2004-08-21,98,"Knuck If You Buck","Crime Mob Featuring Lil Scrappy"
"23305",2005-02-12,98,"La La","Ashlee Simpson"
"23306",2005-03-05,98,"Girlfight","Brooke Valentine Featuring Lil Jon & Big Boi"
"23307",2005-04-09,98,"Holiday","Green Day"
"23308",2005-05-07,98,"La Tortura","Shakira Featuring Alejandro Sanz"
"23309",2005-05-21,98,"Home","Michael Buble"
"23310",2005-06-04,98,"Make Her Feel Good","Teairra Mari"
"23311",2005-07-09,98,"Helena (So Long & Goodnight)","My Chemical Romance"
"23312",2005-10-01,98,"Laffy Taffy","D4L"
"23313",2005-10-15,98,"I Don't Care","Ricky Martin Featuring Fat Joe & Amerie"
"23314",2005-10-22,98,"Juicebox","The Strokes"
"23315",2006-02-04,98,"King Without A Crown","Matisyahu"
"23316",2006-03-18,98,"I Write Sins Not Tragedies","Panic! At The Disco"
"23317",2006-06-10,98,"I Love My B****","Busta Rhymes Featuring will.i.am & Kelis"
"23318",2006-06-17,98,"I Can't Unlove You","Kenny Rogers"
"23319",2006-09-30,98,"Ni Una Sola Palabra","Paulina Rubio"
"23320",2006-10-28,98,"Love You","Jack Ingram"
"23321",2006-12-09,98,"Kingdom Come","JAY-Z"
"23322",2006-12-30,98,"Fidelity","Regina Spektor"
"23323",2007-01-27,98,"Glamorous","Fergie Featuring Ludacris"
"23324",2007-02-17,98,"I'll Wait For You","Joe Nichols"
"23325",2007-05-05,98,"Me And God","Josh Turner"
"23326",2007-05-26,98,"Get Me Bodied","Beyonce"
"23327",2007-09-15,98,"Hate That I Love You","Rihanna Featuring Ne-Yo"
"23328",2007-10-20,98,"Everybody","Keith Urban"
"23329",2008-02-09,98,"Kindly Unspoken","Kate Voegele"
"23330",2008-03-29,98,"Every Day","Rascal Flatts"
"23331",2008-06-14,98,"Love Is Gone","David Guetta & Chris Willis"
"23332",2008-06-28,98,"I Still Miss You","Keith Anderson"
"23333",2008-07-19,98,"Holler Back","The Lost Trailers"
"23334",2008-08-23,98,"Just A Dream","Carrie Underwood"
"23335",2008-09-06,98,"Miss Independent","Ne-Yo"
"23336",2008-09-20,98,"No Me Doy Por Vencido","Luis Fonsi"
"23337",2009-02-14,98,"Don't Think I Can't Love You","Jake Owen"
"23338",2009-03-07,98,"It's America","Rodney Atkins"
"23339",2009-07-18,98,"I'll Just Hold On","Blake Shelton"
"23340",2009-09-05,98,"Joey","Sugarland"
"23341",2009-09-19,98,"Face Drop","Sean Kingston"
"23342",2009-10-17,98,"Hey, Soul Sister","Train"
"23343",2009-12-19,98,"If We Ever Meet Again","Timbaland Featuring Katy Perry"
"23344",2010-01-30,98,"Highway 20 Ride","Zac Brown Band"
"23345",2010-02-13,98,"Let It Be","Jennifer Hudson Featuring The Roots"
"23346",2010-03-13,98,"Gimmie That Girl","Joe Nichols"
"23347",2010-08-28,98,"Little Lion Man","Mumford & Sons"
"23348",2010-09-11,98,"Holding You Down (Goin In Circles)","Jazmine Sullivan"
"23349",2010-10-23,98,"Loca","Shakira Featuring Dizzee Rascal"
"23350",2011-06-18,98,"Just Fishin'","Trace Adkins"
"23351",2011-07-02,98,"Love Done Gone","Billy Currington"
"23352",2011-07-16,98,"High","Big Sean Featuring Wiz Khalifa"
"23353",2011-08-20,98,"Far Away","Tyga Featuring Chris Richardson"
"23354",2012-01-21,98,"Gotta Have It","Jay Z Kanye West"
"23355",2012-02-04,98,"Mr. Wrong","Mary J. Blige Featuring Drake"
"23356",2012-04-14,98,"Got My Country On","Chris Cagle"
"23357",2012-04-28,98,"Hungry Like The Wolf / Rio","Glee Cast"
"23358",2012-05-26,98,"Lemme See","Usher Featuring Rick Ross"
"23359",2012-11-17,98,"If I Didn't Have You","Thompson Square"
"23360",2012-12-01,98,"I'm Different","2 Chainz"
"23361",2013-03-16,98,"More Than Miles","Brantley Gilbert"
"23362",2013-04-13,98,"Lego House","Ed Sheeran"
"23363",2013-07-13,98,"Goodbye Town","Lady Antebellum"
"23364",2014-01-18,98,"Happy","Pharrell Williams"
"23365",2014-01-25,98,"How I Feel","Flo Rida"
"23366",2014-03-08,98,"La La La","Naughty Boy Featuring Sam Smith"
"23367",2014-03-29,98,"I Luh Ya Papi","Jennifer Lopez Featuring French Montana"
"23368",2014-04-26,98,"Girls Chase Boys","Ingrid Michaelson"
"23369",2014-05-31,98,"Heaven","Jake Worthington"
"23370",2014-07-12,98,"Leave The Night On","Sam Hunt"
"23371",2014-08-16,98,"No Flex Zone","Rae Sremmurd"
"23372",2014-09-20,98,"Hold You Down","DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih"
"23373",2014-10-25,98,"Errrbody","Yo Gotti"
"23374",2014-11-08,98,"God Made Girls","RaeLynn"
"23375",2014-12-20,98,"Like A Cowboy","Randy Houser"
"23376",2015-04-25,98,"Goodbye","Who Is Fancy"
"23377",2015-05-02,98,"Imagine","Sawyer Fredericks"
"23378",2015-07-18,98,"My Way","Fetty Wap Featuring Monty"
"23379",2015-08-29,98,"Gonna Wanna Tonight","Chase Rice"
"23380",2015-09-26,98,"Ginza","J Balvin"
"23381",2015-11-14,98,"Exchange","Bryson Tiller"
"23382",2015-12-19,98,"Girls Just Want To Have Fun","Madi Davis"
"23383",2015-12-26,98,"Drifting","G-Eazy Featuring Chris Brown & Tory Lanez"
"23384",2016-01-02,98,"Hollow","Tori Kelly"
"23385",2016-01-09,98,"Let It Go","James Bay"
"23386",2016-02-06,98,"Lean & Dabb","iLoveMemphis"
"23387",2016-04-02,98,"Light It Up","Major Lazer Featuring Nyla & Fuse ODG"
"23388",2016-04-23,98,"Never Be Like You","Flume Featuring Kai"
"23389",2016-07-23,98,"Lockjaw","French Montana Featuring Kodak Black"
"23390",2016-09-10,98,"Nights","Frank Ocean"
"23391",2016-09-24,98,"Fade","Kanye West"
"23392",2016-11-05,98,"My Sh*t","A Boogie Wit da Hoodie"
"23393",2016-11-26,98,"Kill A Word","Eric Church Featuring Rhiannon Giddens"
"23394",2016-12-17,98,"Make Me (Cry)","Noah Cyrus Featuring Labrinth"
"23395",2017-04-22,98,"How Not To","Dan + Shay"
"23396",2017-06-03,98,"Ghost In This House","Lauren Duski"
"23397",2017-06-17,98,"No Longer Friends","Bryson Tiller"
"23398",2017-09-02,98,"Fix A Drink","Chris Janson"
"23399",1958-08-02,99,"I'll Get By (As Long As I Have You)","Billy Williams"
"23400",1958-12-06,99,"Don't You Know Yockomo","Huey ""piano"" Smith With His Clowns"
"23401",1958-12-20,99,"Here I Stand","Wade Flemons and the Newcomers"
"23402",1958-12-27,99,"Heartbeat","Buddy Holly"
"23403",1959-04-04,99,"I Never Felt Like This","Jack Scott"
"23404",1959-06-06,99,"Flower Of Love","The Crests featuring Johnny Mastro"
"23405",1959-06-27,99,"Happy Vacation","Jackie Lee"
"23406",1959-07-11,99,"I Still Get Jealous","Joni James"
"23407",1959-08-01,99,"Gee","George Hamilton IV"
"23408",1959-09-12,99,"I'll Never Fall In Love Again","Johnnie Ray"
"23409",1959-09-19,99,"In The Mood","Ernie Fields & Orch."
"23410",1959-10-17,99,"Midnight Stroll","The Revels"
"23411",1959-10-24,99,"My Heart Became Of Age","Annette With The Afterbeats"
"23412",1959-12-05,99,"How About That","Dee Clark"
"23413",1960-02-06,99,"Honey Love","Narvel Felts"
"23414",1960-02-13,99,"Let The Little Girl Dance","Billy Bland"
"23415",1960-02-20,99,"El Matador","The Kingston Trio"
"23416",1960-03-05,99,"Jambalaya","Bobby Comstock And The Counts"
"23417",1960-03-12,99,"Lonely Weekends","Charlie Rich"
"23418",1960-04-30,99,"Happy-Go-Lucky-Me","Paul Evans"
"23419",1960-05-07,99,"I'll Be Seeing You","The Five Satins"
"23420",1960-05-21,99,"Found Love","Jimmy Reed"
"23421",1960-06-18,99,"Look For A Star - Part I","Garry Mills"
"23422",1960-09-10,99,"Just Call Me (And I'll Understand)","Lloyd Price and His Orchestra"
"23423",1960-09-17,99,"My Dearest Darling","Etta James"
"23424",1960-10-08,99,"Last Date","Floyd Cramer"
"23425",1960-10-29,99,"Kissin' And Twistin'","Fabian"
"23426",1960-11-19,99,"Fallen Angel","Webb Pierce"
"23427",1960-12-17,99,"Mister Livingston","Larry Verne"
"23428",1961-03-04,99,"I Lied To My Heart","The Enchanters"
"23429",1961-03-11,99,"Little Turtle Dove","Otis Williams And His Charms"
"23430",1961-04-22,99,"I'm A Fool To Care","Joe Barry"
"23431",1961-04-29,99,"Kissin Game","Dion"
"23432",1961-07-15,99,"Drivin' Home","Duane Eddy And The Rebels"
"23433",1961-07-22,99,"Here In My Heart","Al Martino"
"23434",1961-08-12,99,"Girls Girls Girls (Part II)","The Coasters"
"23435",1961-08-26,99,"I Can't Take It","Mary Ann Fisher"
"23436",1961-10-07,99,"Late Date","The Parkays"
"23437",1961-10-14,99,"Gypsy Woman","The Impressions"
"23438",1961-11-04,99,"Just Because","The McGuire Sisters"
"23439",1961-11-11,99,"I Know (You Don't Love Me No More)","Barbara George"
"23440",1961-11-25,99,"Little Altar Boy","Vic Dana"
"23441",1961-12-09,99,"Letter Full Of Tears","Gladys Knight And The Pips"
"23442",1961-12-16,99,"I Could Have Loved You So Well","Ray Peterson"
"23443",1961-12-30,99,"Motorcycle","Tico And The Triumphs"
"23444",1962-01-27,99,"He Knows I Love Him Too Much","The Paris Sisters"
"23445",1962-02-17,99,"Grow Closer Together","The Impressions"
"23446",1962-03-03,99,"Lollipops And Roses","Jack Jones"
"23447",1962-04-14,99,"I'll Take You Home","The Corsairs Featuring Jay ""Bird"" Uzzell"
"23448",1962-04-21,99,"Funny","Gene McDaniels"
"23449",1962-04-28,99,"Drummin' Up A Storm","Sandy Nelson"
"23450",1962-05-05,99,"Lipstick Traces (On A Cigarette)","Benny Spellman"
"23451",1962-05-12,99,"I'll Try Something New","The Miracles"
"23452",1962-06-16,99,"Never In A Million Years","Linda Scott"
"23453",1962-07-07,99,"I'm Hanging Up My Heart For You","Solomon Burke"
"23454",1962-07-28,99,"Jivin' Around","Al Casey Combo"
"23455",1962-08-04,99,"Love Me As I Love You","George Maharis"
"23456",1962-08-11,99,"Glory Of Love","Don Gardner And Dee Dee Ford"
"23457",1962-08-18,99,"Limbo","The Capris"
"23458",1962-09-01,99,"If I Didn't Have A Dime (To Play The Jukebox)","Gene Pitney"
"23459",1962-09-08,99,"Mama (He Treats Your Daughter Mean)","Ruth Brown"
"23460",1962-10-06,99,"He Thinks I Still Care","Connie Francis"
"23461",1962-10-13,99,"Hully Gully Guitar","Jerry Reed And The Hully Girlies"
"23462",1962-11-24,99,"Don't Stop The Wedding","Ann Cole"
"23463",1962-12-01,99,"From The Bottom Of My Heart (Dammi, Dammi, Dammi)","Dean Martin"
"23464",1963-01-05,99,"How Much Is That Doggie In The Window","Baby Jane & The Rockabyes"
"23465",1963-02-02,99,"Love For Sale","Arthur Lyman Group"
"23466",1963-02-09,99,"Every Beat Of My Heart","James Brown And The Famous Flames"
"23467",1963-02-16,99,"Mr. Bass Man","Johnny Cymbal"
"23468",1963-03-02,99,"If Mary's There","Brian Hyland"
"23469",1963-03-16,99,"Don't Wanna Think About Paula","Dickey Lee"
"23470",1963-03-23,99,"Little Band Of Gold","James Gilreath"
"23471",1963-06-15,99,"My True Confession","Brook Benton"
"23472",1963-06-22,99,"Graduation Day","Bobby Pickett"
"23473",1963-06-29,99,"I (Who Have Nothing)","Ben E. King"
"23474",1963-07-20,99,"I Want To Stay Here","Steve & Eydie"
"23475",1963-08-17,99,"I Cried","Tammy Montgomery"
"23476",1963-09-14,99,"Mr. Wishing Well","Nat King Cole"
"23477",1963-09-21,99,"Maria Elena","Los Indios Tabajaras"
"23478",1963-10-12,99,"Don't Wait Too Long","Tony Bennett"
"23479",1963-11-09,99,"Long Tall Texan","Murry Kellum"
"23480",1963-12-28,99,"Never Love A Robin","Bobby Vee"
"23481",1964-03-07,99,"Forever","Pete Drake And His Talking Steel Guitar"
"23482",1964-04-04,99,"Hey, Mr. Sax Man","Boots Randolph"
"23483",1964-04-11,99,"Love Me With All Your Heart (Cuando Calienta El Sol)","The Ray Charles Singers"
"23484",1964-04-25,99,"I'm Confessin' (That I Love You)","Nino Tempo & April Stevens"
"23485",1964-05-16,99,"Long Tall Shorty","Tommy Tucker"
"23486",1964-05-23,99,"Just Ain't Enough Love","Eddie Holland"
"23487",1964-05-30,99,"Let's Have A Party","The Rivieras"
"23488",1964-06-27,99,"It's All Over Now","The Valentinos"
"23489",1964-07-11,99,"It's A Sin To Tell A Lie","Tony Bennett"
"23490",1964-08-08,99,"Haunted House","Gene Simmons"
"23491",1964-08-15,99,"It's A Cotton Candy World","Jerry Wallace"
"23492",1964-08-29,99,"Lover's Prayer","Wallace Brothers"
"23493",1964-10-17,99,"Hey Now","Lesley Gore"
"23494",1964-10-24,99,"Listen Lonely Girl","Johnny Mathis"
"23495",1964-10-31,99,"Heartbreak Hill","Fats Domino"
"23496",1964-11-21,99,"It's All Over","Walter Jackson"
"23497",1964-12-19,99,"Hey-Da-Da-Dow","The Dolphins"
"23498",1965-01-09,99,"No Faith, No Love","Mitty Collier"
"23499",1965-01-16,99,"I Wanna Be (Your Everything)","The Manhattans"
"23500",1965-02-13,99,"It's Gonna Be Alright","Maxine Brown"
"23501",1965-03-06,99,"El Pussy Cat","Mongo Santamaria"
"23502",1965-03-13,99,"Find My Way Back Home","The Nashville Teens"
"23503",1965-03-27,99,"I Can't Explain","The Who"
"23504",1965-04-03,99,"Hawaii Honeymoon","The Waikikis"
"23505",1965-04-17,99,"I've Got Five Dollars And It's Saturday Night","George & Gene"
"23506",1965-05-15,99,"I Do","The Marvelows"
"23507",1965-06-05,99,"From The Bottom Of My Heart (I Love You)","The Moody Blues"
"23508",1965-06-26,99,"I'm A Fool","Dino, Desi & Billy"
"23509",1965-08-14,99,"Hang On Sloopy","The McCoys"
"23510",1965-08-28,99,"High Heel Sneakers","Stevie Wonder"
"23511",1965-10-02,99,"He Touched Me","Barbra Streisand"
"23512",1965-10-23,99,"Misty","The Vibrations"
"23513",1965-11-06,99,"If You Don't (Love Me, Tell Me So)","Barbara Mason"
"23514",1965-11-27,99,"I'm Satisfied","The San Remo Golden Strings"
"23515",1966-01-15,99,"Get Back","Roy Head"
"23516",1966-01-22,99,"Love Makes The World Go Round","Deon Jackson"
"23517",1966-02-05,99,"I Want To Go With You","Eddy Arnold"
"23518",1966-03-12,99,"My Babe","Roy Head And The Traits"
"23519",1966-04-30,99,"My Little Red Book","Love"
"23520",1966-06-04,99,"Neighbor, Neighbor","Jimmy Hughes"
"23521",1966-06-11,99,"Lil' Red Riding Hood","Sam The Sham and the Pharaohs"
"23522",1966-06-18,99,"I'll Be Gone","Pozo Seco Singers"
"23523",1966-07-30,99,"Love Attack","James Carr"
"23524",1966-08-20,99,"Get Away","Georgie Fame And The Blue Flames"
"23525",1966-09-03,99,"Fiddle Around","Jan & Dean"
"23526",1966-09-10,99,"Love Is A Hurtin' Thing","Lou Rawls"
"23527",1966-11-26,99,"Happenings Ten Years Time Ago","The Yardbirds"
"23528",1966-12-03,99,"I'll Be Home","The Platters"
"23529",1966-12-10,99,"If You Go Away","Damita Jo"
"23530",1966-12-31,99,"Fortune Teller","The Hardtimes"
"23531",1967-01-07,99,"Full Measure","The Lovin' Spoonful"
"23532",1967-01-21,99,"Hard Lovin' Loser","Judy Collins"
"23533",1967-02-25,99,"Girl Don't Care","Gene Chandler"
"23534",1967-03-11,99,"Mellow Yellow","Senator Bobby & Senator McKinley"
"23535",1967-04-15,99,"Happy Jack","The Who"
"23536",1967-04-29,99,"I Got What You Need","Kim Weston"
"23537",1967-05-27,99,"Holiday For Clowns","Brian Hyland"
"23538",1967-06-10,99,"Little Miss Sunshine","Tommy Roe"
"23539",1967-06-24,99,"Let The Good Times Roll & Feel So Good","Bunny Sigler"
"23540",1967-07-01,99,"Mr. Pleasant","The Kinks"
"23541",1967-07-29,99,"Lonesome Road","The Wonder Who?"
"23542",1967-08-05,99,"It Could Be We're In Love","The Cryan' Shames"
"23543",1967-08-12,99,"Just Once In A Lifetime","Brenda & The Tabulations"
"23544",1967-08-19,99,"Last Minute Miracle","The Shirelles"
"23545",1967-09-16,99,"Karate-Boo-Ga-Loo","Jerryo"
"23546",1967-09-23,99,"Nine Pound Steel","Joe Simon"
"23547",1967-11-25,99,"Judy In Disguise (With Glasses)","John Fred And The Playboys"
"23548",1968-01-06,99,"Love Is Blue (L'amour Est Bleu)","Paul Mauriat And His Orchestra"
"23549",1968-01-13,99,"Expecting To Fly","The Buffalo Springfield"
"23550",1968-01-27,99,"No One Knows","Every Mothers' Son"
"23551",1968-02-10,99,"Got What You Need","The Fantastic Johnny C"
"23552",1968-02-17,99,"Music Music Music","The Happenings"
"23553",1968-04-27,99,"If I Were A Carpenter","Four Tops"
"23554",1968-05-04,99,"Here's To You","Hamilton Camp"
"23555",1968-05-25,99,"Don't Sign The Paper Baby (I Want You Back)","Jimmy Delphs"
"23556",1968-08-03,99,"Montage From How Sweet It Is (I Know That You Know)","The Love Generation"
"23557",1968-08-17,99,"I've Gotta Get A Message To You","Bee Gees"
"23558",1968-09-07,99,"Fool For You","The Impressions"
"23559",1968-09-14,99,"Horse Fever","Cliff Nobles & Co."
"23560",1968-09-21,99,"I Love You Madly","Fantastic Four"
"23561",1968-10-19,99,"Never My Love","The Sandpebbles"
"23562",1968-12-28,99,"I Can't Help It (If I'm Still In Love With You)","Al Martino"
"23563",1969-01-18,99,"Mendocino","Sir Douglas Quintet"
"23564",1969-02-15,99,"I Don't Want To Cry","Ruby Winters"
"23565",1969-03-01,99,"Give It Away","The Chi-lites"
"23566",1969-04-05,99,"Idaho","The 4 Seasons"
"23567",1969-04-12,99,"I Can't Do Enough","The Dells"
"23568",1969-04-19,99,"I'm A Drifter","Bobby Goldsboro"
"23569",1969-05-10,99,"I'm Gonna Do All I Can (To Do Right By My Man)","Ike & Tina Turner"
"23570",1969-05-17,99,"I Threw It All Away","Bob Dylan"
"23571",1969-07-19,99,"Jack And Jill","Tommy Roe"
"23572",1969-09-06,99,"Life And Death In G & A","Abaco Dream"
"23573",1969-10-11,99,"Love In The City","The Turtles"
"23574",1969-11-01,99,"Midnight Cowboy","Ferrante & Teicher"
"23575",1969-11-22,99,"Happy","Paul Anka"
"23576",1969-12-06,99,"I Started Loving You Again","Al Martino"
"23577",1969-12-13,99,"How I Miss You Baby","Bobby Womack"
"23578",1969-12-27,99,"Guess Who","Ruby Winters"
"23579",1970-02-28,99,"Message From A Black Man","The Whatnauts & The Whatnaut Band"
"23580",1970-04-04,99,"Lay Lady Lay","Ferrante & Teicher"
"23581",1970-04-11,99,"I Can't Leave Your Love Alone","Clarence Carter"
"23582",1970-04-25,99,"It's All In The Game","Four Tops"
"23583",1970-06-13,99,"Move Me, O Wondrous Music","The Ray Charles Singers"
"23584",1970-06-27,99,"Humphrey The Camel","Jack Blanchard & Misty Morgan"
"23585",1970-07-18,99,"I Can't Be You (You Can't Be Me)","The Glass House"
"23586",1970-07-25,99,"It's A Shame","The Spinners"
"23587",1970-09-05,99,"Looky Looky (Look At Me Girl)","The O'Jays"
"23588",1970-10-10,99,"I'm Better Off Without You","The Main Ingredient"
"23589",1970-10-17,99,"Jerusalem","Herb Alpert & The Tijuana Brass"
"23590",1971-01-09,99,"Fly Little White Dove Fly","The Bells"
"23591",1971-01-23,99,"I'll Be Home","Vikki Carr"
"23592",1971-02-13,99,"Maria (You Were The Only One)","Jimmy Ruffin"
"23593",1971-02-20,99,"I Don't Know How To Love Him","Helen Reddy"
"23594",1971-03-20,99,"I Don't Know How To Love Him/Everything's Alright","The Kimberlys"
"23595",1971-03-27,99,"I Wish I Were","Andy Kim"
"23596",1971-04-03,99,"Freedom","Jimi Hendrix"
"23597",1971-04-17,99,"L.A. International Airport","Susan Raye"
"23598",1971-05-29,99,"Love's Made A Fool Of You","Cochise"
"23599",1971-06-12,99,"I Hear Those Church Bells Ringing","Dusk"
"23600",1971-06-19,99,"Mozart Symphony No. 40 In G Minor K.550, 1st Movement","Waldo De Los Rios"
"23601",1971-06-26,99,"Love Me","The Rascals"
"23602",1971-08-28,99,"Feel So Bad","Ray Charles"
"23603",1971-10-30,99,"I Bet He Don't Love You (Like I Love You)","The Intruders"
"23604",1971-11-06,99,"Fool Me","Joe South"
"23605",1971-11-13,99,"Let It Be","Joan Baez"
"23606",1971-11-27,99,"I'm Gonna Be A Country Girl Again","Buffy Sainte-Marie"
"23607",1971-12-11,99,"Long Time To Be Alone","The New Colony Six"
"23608",1972-01-08,99,"Footstompin' Music","Grand Funk Railroad"
"23609",1972-02-12,99,"It's Four In The Morning","Faron Young"
"23610",1972-03-11,99,"Josie","Kris Kristofferson"
"23611",1972-04-15,99,"Mendelssohn's 4th (Second Movement)","Apollo 100"
"23612",1972-05-13,99,"Me And Jesus","Tom T. Hall"
"23613",1972-06-24,99,"I Am Woman","Helen Reddy"
"23614",1972-07-29,99,"Garden Party","Rick Nelson And The Stone Canyon Band"
"23615",1972-08-05,99,"My Ding-A-Ling","Chuck Berry"
"23616",1972-09-02,99,"Fool's Paradise","The Sylvers"
"23617",1972-10-07,99,"I Just Want To Make Love To You","Foghat"
"23618",1973-01-20,99,"Little Willy","The Sweet"
"23619",1973-03-10,99,"Last Tango In Paris","Herb Alpert & The Tijuana Brass"
"23620",1973-03-17,99,"Kufanya Mapenzi (Making Love)","Ramsey Lewis"
"23621",1973-04-28,99,"Music Everywhere","Tufano & Giammarese"
"23622",1973-05-05,99,"Dueling Tubas","Martin Mull and Orchestra"
"23623",1973-06-02,99,"I'm Leavin' You","Engelbert Humperdinck"
"23624",1973-06-09,99,"I Don't Want To Make You Wait","The Delfonics"
"23625",1973-07-07,99,"I Was Checkin' Out She Was Checkin' In","Don Covay"
"23626",1973-08-04,99,"Loving Arms","Dobie Gray"
